time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-19 15:05:59,2025-08-19 16:35:59,ETHUSDT,LONG,4182.940000,4182.940000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,110207.21,110207.21,439.113824,1836786.78,True,90,,False,FULL,1.00
2025-08-19 16:36:59,2025-08-19 18:06:59,ETHUSDT,LONG,4168.010000,4175.680000,0.1840,ExitD_TimeMax_Profit,SAFE,100.00,0.0307,3.0670,3380.07,110207.21,113587.27,440.686749,1836786.78,True,90,,False,FULL,1.00
2025-08-19 18:07:59,2025-08-19 19:37:59,ETHUSDT,LONG,4180.650000,4180.650000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,113587.27,113587.27,452.829401,1893121.23,True,90,,False,FULL,1.00
2025-08-19 19:38:59,2025-08-19 21:08:59,ETHUSDT,LONG,4161.620000,4161.620000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,113587.27,113587.27,454.900071,1893121.23,True,90,,False,FULL,1.00
2025-08-19 21:09:59,2025-08-19 22:39:59,ETHUSDT,LONG,4137.780000,4137.780000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,113587.27,113587.27,457.520998,1893121.23,True,90,,False,FULL,1.00
2025-08-19 22:40:59,2025-08-20 00:10:59,ETHUSDT,LONG,4136.740000,4136.740000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,113587.27,113587.27,457.636021,1893121.23,True,90,,False,FULL,1.00
2025-08-20 00:11:59,2025-08-20 01:41:59,ETHUSDT,LONG,4101.400000,4101.400000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,113587.27,113587.27,461.579274,1893121.23,True,90,,False,FULL,1.00
2025-08-20 01:42:59,2025-08-20 03:12:59,ETHUSDT,LONG,4075.420000,4136.520000,1.4992,ExitD_TimeMax_Profit,SAFE,100.00,0.2499,24.9872,28382.28,113587.27,141969.55,464.521751,1893121.23,True,90,,False,FULL,1.00
2025-08-20 03:13:59,2025-08-20 04:43:59,ETHUSDT,LONG,4134.850000,4163.090000,0.6830,ExitD_TimeMax_Profit,SAFE,100.00,0.1138,11.3829,16160.28,141969.55,158129.83,572.247897,2366159.22,True,90,,False,FULL,1.00
2025-08-20 04:44:59,2025-08-20 06:14:59,ETHUSDT,LONG,4163.630000,4175.490000,0.2848,ExitD_TimeMax_Profit,SAFE,100.00,0.0475,4.7475,7507.15,158129.83,165636.98,632.980651,2635497.23,True,90,,False,FULL,1.00
2025-08-20 06:15:59,2025-08-20 07:45:59,ETHUSDT,LONG,4176.070000,4190.710000,0.3506,ExitD_TimeMax_Profit,SAFE,100.00,0.0584,5.8428,9677.86,165636.98,175314.85,661.056065,2760616.40,True,90,,False,FULL,1.00
2025-08-20 07:46:59,2025-08-20 09:16:59,ETHUSDT,LONG,4196.920000,4230.100000,0.7906,ExitD_TimeMax_Profit,SAFE,100.00,0.1318,13.1763,23100.06,175314.85,198414.91,696.204379,2921914.08,True,90,,False,FULL,1.00
2025-08-20 09:17:59,2025-08-20 10:47:59,ETHUSDT,LONG,4228.700000,4228.700000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,198414.91,198414.91,782.016957,3306915.11,True,90,,False,FULL,1.00
2025-08-20 10:48:59,2025-08-20 12:18:59,ETHUSDT,LONG,4227.840000,4227.840000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,198414.91,198414.91,782.176030,3306915.11,True,90,,False,FULL,1.00
2025-08-20 12:19:59,2025-08-20 13:49:59,ETHUSDT,LONG,4195.160000,4195.160000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,198414.91,198414.91,788.269126,3306915.11,True,90,,False,FULL,1.00
